Beleidsdomein;Thema;Subthema;Verstrekker;KBO-nr;Vestiging;Naam subsidieontvanger;Postcode;Gemeente;Land;Jaar;Toegekend (EUR);Betaald (EUR)
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Binnenlands bestuur (excl. fondsen lokale financiering);Subsidie noodopvang schoolkinderen (covid-19);Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2022;3,410;3,410
Welzijn, Volksgezondheid en Gezin;Sociale bescherming - residentiële ouderenzorg;Relance budget 45 - Inzetten op kwaliteit en 'good governance' van WZC & vooruitschuif nieuw beleid;AGENTSCHAP VLAAMSE SOCIALE BESCHERMING;0832009382;;WOON- EN ZORGCENTRUM DE LELIE;8340;DAMME;België;2022;930;930
Welzijn, Volksgezondheid en Gezin;Sociale bescherming - residentiële ouderenzorg;Relance budget 45 - Inzetten op kwaliteit en 'good governance' van WZC & vooruitschuif nieuw beleid;AGENTSCHAP VLAAMSE SOCIALE BESCHERMING;0212244809;;OPENBAAR CENTRUM VOOR MAATSCHAPPELIJK WELZIJN VAN DAMME;8340;DAMME;België;2022;28,461;28,461
Omgeving;Natuur en biodiversiteit;Subsidies voor wildbeheereenheden;Agentschap voor Natuur en Bos;0455554362;;WILDBEHEEREENHEID ZOETENDAELE-DE POLDERS;8340;DAMME;België;2022;1,500;750
Landbouw en Visserij;Ondersteuning landbouw en landbouwbedrijf;Subsidie voor controlekosten voor de biologische landbouw;Agentschap Landbouw en Zeevisserij;0543785661;;CARREBROUCK - TANGHE;8340;DAMME;België;2022;350;350
Landbouw en Visserij;Ondersteuning landbouw en landbouwbedrijf;Subsidie voor controlekosten voor de biologische landbouw;Agentschap Landbouw en Zeevisserij;0543785661;;CARREBROUCK - TANGHE;8340;DAMME;België;2024;400;400
Landbouw en Visserij;Ondersteuning landbouw en landbouwbedrijf;Subsidie voor controlekosten voor de biologische landbouw;Agentschap Landbouw en Zeevisserij;0543785661;;CARREBROUCK - TANGHE;8340;DAMME;België;2023;360;360
Landbouw en Visserij;Ondersteuning landbouw en landbouwbedrijf;Subsidie voor controlekosten voor de biologische landbouw;Agentschap Landbouw en Zeevisserij;0678761359;;DOMBRECHT;8340;DAMME;België;2023;360;360
Landbouw en Visserij;Ondersteuning landbouw en landbouwbedrijf;Subsidie voor controlekosten voor de biologische landbouw;Agentschap Landbouw en Zeevisserij;0678761359;;DOMBRECHT;8340;DAMME;België;2022;350;350
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Subsidie ter versterking van de energiecellen van de OCMW’s;Agentschap Binnenlands Bestuur;0212244809;;OPENBAAR CENTRUM VOOR MAATSCHAPPELIJK WELZIJN VAN DAMME;8340;DAMME;België;2022;3,297;3,297
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Subsidie ter versterking van de energiecellen van de OCMW’s;Agentschap Binnenlands Bestuur;0212244809;;OPENBAAR CENTRUM VOOR MAATSCHAPPELIJK WELZIJN VAN DAMME;8340;DAMME;België;2023;14,145;14,145
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Subsidie ter versterking van de energiecellen van de OCMW’s;Agentschap Binnenlands Bestuur;0212244809;;OPENBAAR CENTRUM VOOR MAATSCHAPPELIJK WELZIJN VAN DAMME;8340;DAMME;België;2024;14,145;14,145
Omgeving;Omgevingsbeleid ruimte en milieu;Schadevergoeding van de overheid;VLAAMSE LANDMAATSCHAPPIJ;0822353924;;MOUTON;8340;DAMME;België;2024;9,144;9,144
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Toerisme;Logiessubsidie: steun voor erkend toeristisch logies;Toerisme Vlaanderen;0429609634;;BOGAFI;8340;DAMME;België;2024;0;8,613
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Toerisme;Logiessubsidie: steun voor erkend toeristisch logies;Toerisme Vlaanderen;0429609634;;BOGAFI;8340;DAMME;België;2023;8,613;0
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Toerisme;Logiessubsidie: steun voor erkend toeristisch logies;Toerisme Vlaanderen;0658901006;;SANAPOLIS;8340;DAMME;België;2024;126,559;0
Cultuur, Jeugd, Sport en Media;Jeugdorganisaties (jeugd- en kinderrechtenbeleid);Jeugd: Projectsubsidie voor een vernieuwend initiatief ter uitvoering van het Vlaams Jeugd- en Kinderrechtenbeleidsplan (Jeugddecreet 2023);Departement Cultuur, Jeugd en Media;0804085359;;TROEF;8340;DAMME;België;2024;125,000;100,000
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0405095556;;BRUGS AANNEMERS HUIS;8340;DAMME;België;2022;11,905;0
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0882585182;;LVP;8340;DAMME;België;2023;0;11,019
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0423911477;;HEERLIJKHEID VAN MOERKERKE;8340;DAMME;België;2022;70,961;0
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0429609634;;BOGAFI;8340;DAMME;België;2024;0;152,770
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0207528134;;STAD DAMME;8340;DAMME;België;2022;7,482;2,733
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0423911477;;HEERLIJKHEID VAN MOERKERKE;8340;DAMME;België;2024;27,382;17,000
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0429609634;;BOGAFI;8340;DAMME;België;2023;200,000;0
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0423911477;;HEERLIJKHEID VAN MOERKERKE;8340;DAMME;België;2023;17,000;0
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0525817796;;THV LAURIER PARK;8340;DAMME;België;2022;25,914;0
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0207528134;;STAD DAMME;8340;DAMME;België;2023;0;8,673
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0437156333;;GEWAD;8340;DAMME;België;2024;99,270;0
Omgeving;Kwaliteit onroerenderfgoedzorg;Erfgoedpremie voor beschermde monumenten en landschappen - standaardprocedure;Onroerend Erfgoed;0423911477;;HEERLIJKHEID VAN MOERKERKE;8340;DAMME;België;2025;0;70,961
Cultuur, Jeugd, Sport en Media;Sport voor allen;Subsidies voor (G-) sportevenementen;SPORT VLAANDEREN;0643481073;;WANDELSPORT VLAANDEREN;8340;DAMME;België;2024;4,000;4,000
Cultuur, Jeugd, Sport en Media;Sport voor allen;Subsidies voor (G-) sportevenementen;SPORT VLAANDEREN;0643481073;;WANDELSPORT VLAANDEREN;8340;DAMME;België;2022;3,600;3,600
Cultuur, Jeugd, Sport en Media;Sport voor allen;Subsidies voor (G-) sportevenementen;SPORT VLAANDEREN;0740982307;;TRIDAM;8340;DAMME;België;2025;3,000;0
Cultuur, Jeugd, Sport en Media;Sport voor allen;Subsidies voor (G-) sportevenementen;SPORT VLAANDEREN;0740982307;;TRIDAM;8340;DAMME;België;2024;2,500;2,500
Cultuur, Jeugd, Sport en Media;Sport voor allen;Subsidies voor (G-) sportevenementen;SPORT VLAANDEREN;0643481073;;WANDELSPORT VLAANDEREN;8340;DAMME;België;2023;2,000;2,000
Cultuur, Jeugd, Sport en Media;Sport voor allen;Subsidies voor (G-) sportevenementen;SPORT VLAANDEREN;0740982307;;TRIDAM;8340;DAMME;België;2023;2,500;2,500
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0671688871;;DEMESMAEKER, NAERT & VERMINCK;8340;DAMME;België;2022;60;60
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0797839252;;KERCKHOF DE ROUCK;8340;DAMME;België;2025;181;181
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0865348975;;MULTIPROFESSIONELE ARCHITECTENVENNOOTSCHAP KOEN WILLEM;8340;DAMME;België;2023;51;51
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0829484315;;ALGEMENE BOUWONDERNEMING PROOT-ROELS;8340;DAMME;België;2023;243;217
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0425749628;;HELEBLITZ SERVICES;8340;DAMME;België;2024;3,919;4,001
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0764847671;;VANHOVE HAYLEY;8340;DAMME;België;2023;81;81
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0897059166;;TVB;8340;DAMME;België;2023;2,250;2,250
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0825900560;;SILEX;8340;DAMME;België;2022;254;98
